,school,sex,age,mother's_education,father's_education,reason,study_time,family_support,extra_classes,higher,G1,G2,G3,subject,study_x_mother's_education,study_x_father's_education
0,Gabriel Peireira,Female,18,Post-Secondary,Post-Secondary,course,2-5 hr,no,no,yes,5,6,6,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
1,Gabriel Peireira,Female,17,Primary,Primary,course,2-5 hr,yes,no,yes,5,5,6,Math,2-5 hr X Primary,2-5 hr X Primary
2,Gabriel Peireira,Female,15,Primary,Primary,other,2-5 hr,no,yes,yes,7,8,10,Math,2-5 hr X Primary,2-5 hr X Primary
3,Gabriel Peireira,Female,15,Post-Secondary,Grade 5-9,home,5-10 hr,yes,yes,yes,15,14,15,Math,5-10 hr X Post-Secondary,5-10 hr X Grade 5-9
4,Gabriel Peireira,Female,16,Secondary,Secondary,home,2-5 hr,yes,yes,yes,6,10,10,Math,2-5 hr X Secondary,2-5 hr X Secondary
5,Gabriel Peireira,Male,16,Post-Secondary,Secondary,reputation,2-5 hr,yes,yes,yes,15,15,15,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
6,Gabriel Peireira,Male,16,Grade 5-9,Grade 5-9,home,2-5 hr,no,no,yes,12,12,11,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
7,Gabriel Peireira,Female,17,Post-Secondary,Post-Secondary,home,2-5 hr,yes,no,yes,6,5,6,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
8,Gabriel Peireira,Male,15,Secondary,Grade 5-9,home,2-5 hr,yes,yes,yes,16,18,19,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
9,Gabriel Peireira,Male,15,Secondary,Post-Secondary,home,2-5 hr,yes,yes,yes,14,15,15,Math,2-5 hr X Secondary,2-5 hr X Post-Secondary
10,Gabriel Peireira,Female,15,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,yes,yes,10,8,9,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
11,Gabriel Peireira,Female,15,Grade 5-9,Primary,reputation,5-10 hr,yes,no,yes,10,12,12,Math,5-10 hr X Grade 5-9,5-10 hr X Primary
12,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,course,<2 hr,yes,yes,yes,14,14,14,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
13,Gabriel Peireira,Male,15,Post-Secondary,Secondary,course,2-5 hr,yes,yes,yes,10,10,11,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
14,Gabriel Peireira,Male,15,Grade 5-9,Grade 5-9,home,5-10 hr,yes,no,yes,14,16,16,Math,5-10 hr X Grade 5-9,5-10 hr X Grade 5-9
15,Gabriel Peireira,Female,16,Post-Secondary,Post-Secondary,home,<2 hr,yes,no,yes,14,14,14,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
16,Gabriel Peireira,Female,16,Post-Secondary,Post-Secondary,reputation,5-10 hr,yes,yes,yes,13,14,14,Math,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
17,Gabriel Peireira,Female,16,Secondary,Secondary,reputation,2-5 hr,yes,no,yes,8,10,10,Math,2-5 hr X Secondary,2-5 hr X Secondary
18,Gabriel Peireira,Male,17,Secondary,Grade 5-9,course,<2 hr,yes,no,yes,6,5,5,Math,<2 hr X Secondary,<2 hr X Grade 5-9
19,Gabriel Peireira,Male,16,Post-Secondary,Secondary,home,<2 hr,no,yes,yes,8,10,10,Math,<2 hr X Post-Secondary,<2 hr X Secondary
20,Gabriel Peireira,Male,15,Post-Secondary,Secondary,reputation,2-5 hr,no,no,yes,13,14,15,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
21,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,other,<2 hr,yes,yes,yes,12,15,15,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
22,Gabriel Peireira,Male,16,Post-Secondary,Grade 5-9,course,2-5 hr,no,no,yes,15,15,16,Math,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
23,Gabriel Peireira,Male,16,Grade 5-9,Grade 5-9,reputation,2-5 hr,yes,no,yes,13,13,12,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
24,Gabriel Peireira,Female,15,Grade 5-9,Post-Secondary,course,5-10 hr,yes,yes,yes,10,9,8,Math,5-10 hr X Grade 5-9,5-10 hr X Post-Secondary
25,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,home,<2 hr,yes,yes,yes,6,9,8,Math,<2 hr X Grade 5-9,<2 hr X Grade 5-9
26,Gabriel Peireira,Male,15,Grade 5-9,Grade 5-9,home,<2 hr,yes,yes,yes,12,12,11,Math,<2 hr X Grade 5-9,<2 hr X Grade 5-9
27,Gabriel Peireira,Male,15,Post-Secondary,Grade 5-9,other,<2 hr,no,yes,yes,15,16,15,Math,<2 hr X Post-Secondary,<2 hr X Grade 5-9
28,Gabriel Peireira,Male,16,Secondary,Post-Secondary,home,2-5 hr,yes,no,yes,11,11,11,Math,2-5 hr X Secondary,2-5 hr X Post-Secondary
29,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,home,2-5 hr,yes,yes,yes,10,12,11,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
30,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,home,2-5 hr,yes,yes,yes,9,11,12,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
31,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,no,yes,17,16,17,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
32,Gabriel Peireira,Male,15,Post-Secondary,Secondary,course,2-5 hr,yes,no,yes,17,16,16,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
33,Gabriel Peireira,Male,15,Secondary,Secondary,course,2-5 hr,no,no,yes,8,10,12,Math,2-5 hr X Secondary,2-5 hr X Secondary
34,Gabriel Peireira,Male,16,Secondary,Grade 5-9,home,<2 hr,yes,yes,yes,12,14,15,Math,<2 hr X Secondary,<2 hr X Grade 5-9
35,Gabriel Peireira,Female,15,Grade 5-9,Secondary,other,<2 hr,yes,no,yes,8,7,6,Math,<2 hr X Grade 5-9,<2 hr X Secondary
36,Gabriel Peireira,Male,15,Post-Secondary,Secondary,home,5-10 hr,yes,no,yes,15,16,18,Math,5-10 hr X Post-Secondary,5-10 hr X Secondary
37,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,reputation,5-10 hr,yes,no,yes,15,16,15,Math,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
38,Gabriel Peireira,Female,15,Secondary,Post-Secondary,course,5-10 hr,yes,yes,yes,12,12,11,Math,5-10 hr X Secondary,5-10 hr X Post-Secondary
39,Gabriel Peireira,Female,15,Grade 5-9,Grade 5-9,reputation,<2 hr,yes,yes,yes,14,13,13,Math,<2 hr X Grade 5-9,<2 hr X Grade 5-9
40,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,home,2-5 hr,yes,no,yes,7,10,11,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
41,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,home,<2 hr,yes,no,yes,12,12,12,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
42,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,course,2-5 hr,yes,no,yes,19,18,18,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
43,Gabriel Peireira,Male,15,Grade 5-9,Grade 5-9,course,<2 hr,yes,no,yes,8,8,11,Math,<2 hr X Grade 5-9,<2 hr X Grade 5-9
44,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,course,2-5 hr,no,no,yes,10,10,9,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
45,Gabriel Peireira,Female,15,Post-Secondary,Secondary,course,2-5 hr,yes,yes,yes,8,8,6,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
46,Gabriel Peireira,Female,16,Secondary,Secondary,home,2-5 hr,yes,no,yes,11,12,11,Math,2-5 hr X Secondary,2-5 hr X Secondary
47,Gabriel Peireira,Male,16,Post-Secondary,Secondary,reputation,>10 hr,no,no,yes,19,19,20,Math,>10 hr X Post-Secondary,>10 hr X Secondary
48,Gabriel Peireira,Male,15,Post-Secondary,Grade 5-9,home,2-5 hr,yes,yes,yes,15,15,14,Math,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
