,school,sex,age,address,parent_living_status,mother_edu,father_edu,mother_job,father_job,enrollment_reason,guardian,travel_time,weekly_study_time,failures,school_support,family_support,extra_paid_classes,activity_participation,higher_education_plan,internet,romantic,family_relations,free_time,out_w/_friends,weekday_alcohol,weekend_alcohol,health,absences,first_period_grade,second_period_grade,final_grade,subject
0,Gabriel Pereira,F,18,urban,apart,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,no,no,4,3,4,1,1,3,6,5,6,6,math
1,Gabriel Pereira,F,17,urban,together,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6,math
2,Gabriel Pereira,F,15,urban,together,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,no,4,3,2,2,3,3,10,7,8,10,math
3,Gabriel Pereira,F,15,urban,together,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,math
4,Gabriel Pereira,F,16,urban,together,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,no,no,4,3,2,1,2,5,4,6,10,10,math
5,Gabriel Pereira,M,16,urban,together,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15,math
6,Gabriel Pereira,M,16,urban,together,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,no,4,4,4,1,1,3,0,12,12,11,math
7,Gabriel Pereira,F,17,urban,apart,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,no,no,4,1,4,1,1,1,6,6,5,6,math
8,Gabriel Pereira,M,15,urban,apart,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,2,2,1,1,1,0,16,18,19,math
9,Gabriel Pereira,M,15,urban,together,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15,math
10,Gabriel Pereira,F,15,urban,together,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,no,3,3,3,1,2,2,0,10,8,9,math
11,Gabriel Pereira,F,15,urban,together,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12,math
12,Gabriel Pereira,M,15,urban,together,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14,math
13,Gabriel Pereira,M,15,urban,together,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,5,4,3,1,2,3,2,10,10,11,math
14,Gabriel Pereira,M,15,urban,apart,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,math
15,Gabriel Pereira,F,16,urban,together,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,no,4,4,4,1,2,2,4,14,14,14,math
16,Gabriel Pereira,F,16,urban,together,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,math
17,Gabriel Pereira,F,16,urban,together,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,math
18,Gabriel Pereira,M,17,urban,together,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5,math
