,School,Sex,Age,Study_Time,Freetime,Go_Out,Daily_Alc_Consumption,Weekend_Alc_Consumption,Health,Absences,Period_1_Grade,Period_2_Grade,Final_Grade,Weekly_Drinking_AVG,Use_Of_Freetime,subject
0,Mousinho Da Silveira,Male,18,1,5,5,5,5,5,10,11,13,13,7.5,7.666666666666667,Math
1,Gabriel Pereira,Female,16,1,5,5,5,5,5,6,10,8,11,7.5,7.666666666666667,Math
2,Gabriel Pereira,Male,16,1,5,5,5,5,4,14,7,7,5,7.5,7.666666666666667,Math
3,Gabriel Pereira,Male,17,2,4,2,5,5,4,4,14,13,13,7.5,6.666666666666667,Math
4,Gabriel Pereira,Male,16,2,4,5,5,5,5,16,10,12,11,7.5,7.666666666666667,Math
5,Gabriel Pereira,Male,17,1,4,5,5,5,4,8,11,10,10,7.5,6.666666666666667,Math
6,Gabriel Pereira,Male,22,1,4,5,5,5,1,16,6,8,8,7.5,6.666666666666667,Math
7,Gabriel Pereira,Male,18,2,3,3,5,5,4,0,12,13,13,7.5,6.0,Math
8,Gabriel Pereira,Male,15,4,3,3,5,5,3,4,13,13,12,7.5,8.0,Math
9,Mousinho Da Silveira,Male,20,2,5,4,4,5,4,11,9,9,9,7.0,8.333333333333334,Math
10,Gabriel Pereira,Male,17,2,4,4,4,5,5,12,7,8,8,7.0,7.333333333333333,Math
11,Gabriel Pereira,Male,17,2,3,5,4,5,3,13,12,12,13,7.0,6.666666666666667,Math
12,Gabriel Pereira,Male,18,2,3,2,4,5,3,14,10,8,9,7.0,5.666666666666667,Math
13,Gabriel Pereira,Male,18,2,5,4,3,5,2,0,7,7,0,6.5,8.333333333333334,Math
14,Gabriel Pereira,Male,16,1,4,4,3,5,5,6,12,13,14,6.5,6.333333333333333,Math
15,Gabriel Pereira,Male,17,1,3,5,3,5,5,3,14,15,16,6.5,5.666666666666667,Math
16,Gabriel Pereira,Male,15,4,3,5,3,5,1,6,10,13,13,6.5,8.666666666666666,Math
17,Gabriel Pereira,Male,16,1,3,4,3,5,3,8,9,9,10,6.5,5.333333333333333,Math
18,Gabriel Pereira,Male,16,2,1,3,3,5,5,18,8,6,7,6.5,4.0,Math
19,Gabriel Pereira,Male,16,1,5,5,2,5,4,8,18,18,18,6.0,7.666666666666667,Math
20,Gabriel Pereira,Male,15,1,5,5,2,5,5,0,8,9,10,6.0,7.666666666666667,Math
21,Gabriel Pereira,Female,17,3,3,4,2,5,5,0,11,11,10,6.0,7.333333333333333,Math
22,Gabriel Pereira,Male,18,1,3,5,2,5,4,0,6,5,0,6.0,5.666666666666667,Math
23,Gabriel Pereira,Male,18,1,2,5,2,5,5,4,6,9,8,6.0,4.666666666666667,Math
24,Gabriel Pereira,Female,16,2,3,5,1,5,2,2,16,16,16,5.5,6.666666666666667,Math
25,Gabriel Pereira,Male,17,2,3,5,1,5,5,0,5,8,7,5.5,6.666666666666667,Math
26,Gabriel Pereira,Female,18,1,2,5,1,5,4,6,9,8,10,5.5,4.666666666666667,Math
27,Gabriel Pereira,Male,17,2,1,3,1,5,3,4,8,9,10,5.5,4.0,Math
28,Gabriel Pereira,Male,16,2,5,5,4,4,5,4,10,12,12,6.0,8.666666666666666,Math
29,Gabriel Pereira,Male,17,2,4,4,4,4,4,4,10,9,9,6.0,7.333333333333333,Math
30,Gabriel Pereira,Female,15,1,3,4,4,4,1,6,10,13,13,6.0,5.333333333333333,Math
31,Gabriel Pereira,Male,15,1,5,5,3,4,5,6,11,11,10,5.5,7.666666666666667,Math
32,Mousinho Da Silveira,Male,17,1,4,5,3,4,2,3,14,16,16,5.5,6.666666666666667,Math
33,Gabriel Pereira,Male,15,2,4,2,3,4,5,0,9,11,12,5.5,6.666666666666667,Math
34,Gabriel Pereira,Male,17,2,4,4,3,4,5,2,9,9,10,5.5,7.333333333333333,Math
35,Gabriel Pereira,Male,17,1,4,4,3,4,3,19,11,9,10,5.5,6.333333333333333,Math
36,Mousinho Da Silveira,Female,18,2,4,3,3,4,2,4,8,9,10,5.5,7.0,Math
37,Mousinho Da Silveira,Male,18,1,4,1,3,4,5,0,11,12,10,5.5,5.333333333333333,Math
38,Gabriel Pereira,Female,17,3,4,3,3,4,5,28,10,9,9,5.5,8.0,Math
39,Gabriel Pereira,Male,16,1,3,2,3,4,5,8,8,9,10,5.5,4.666666666666667,Math
40,Gabriel Pereira,Male,16,1,3,3,3,4,3,10,10,8,9,5.5,5.0,Math
41,Gabriel Pereira,Male,18,2,2,5,3,4,1,13,17,17,17,5.5,5.666666666666667,Math
42,Gabriel Pereira,Male,17,1,5,4,2,4,5,30,8,8,8,5.0,7.333333333333333,Math
43,Gabriel Pereira,Male,18,4,5,5,2,4,5,2,9,8,8,5.0,10.666666666666666,Math
44,Gabriel Pereira,Male,17,1,5,5,2,4,5,16,6,5,5,5.0,7.666666666666667,Math
45,Gabriel Pereira,Male,16,2,4,4,2,4,5,0,13,13,12,5.0,7.333333333333333,Math
46,Gabriel Pereira,Male,15,1,4,3,2,4,5,8,12,12,12,5.0,6.0,Math
47,Gabriel Pereira,Male,17,1,4,2,2,4,5,0,8,12,12,5.0,5.666666666666667,Math
48,Gabriel Pereira,Female,15,2,4,4,2,4,2,0,10,10,10,5.0,7.333333333333333,Math
49,Gabriel Pereira,Female,16,3,4,4,2,4,4,2,10,9,9,5.0,8.333333333333334,Math
50,Gabriel Pereira,Male,18,2,4,4,2,4,5,15,6,7,8,5.0,7.333333333333333,Math
51,Gabriel Pereira,Male,18,1,4,5,2,4,5,0,6,8,8,5.0,6.666666666666667,Math
52,Gabriel Pereira,Female,17,2,4,5,2,4,1,22,6,6,4,5.0,7.666666666666667,Math
53,Gabriel Pereira,Male,17,2,4,5,2,4,5,0,10,0,0,5.0,7.666666666666667,Math
54,Gabriel Pereira,Male,16,1,4,4,2,4,5,0,7,0,0,5.0,6.333333333333333,Math
55,Gabriel Pereira,Male,16,1,4,5,2,4,2,0,6,5,0,5.0,6.666666666666667,Math
56,Gabriel Pereira,Male,16,1,3,2,2,4,5,0,13,15,15,5.0,4.666666666666667,Math
57,Gabriel Pereira,Female,16,2,3,3,2,4,5,54,11,12,11,5.0,6.0,Math
58,Gabriel Pereira,Male,16,2,3,5,2,4,4,4,10,10,10,5.0,6.666666666666667,Math
59,Mousinho Da Silveira,Male,18,2,3,4,2,4,3,4,10,10,10,5.0,6.333333333333333,Math
60,Gabriel Pereira,Female,15,2,3,4,2,4,5,2,8,6,5,5.0,6.333333333333333,Math
61,Gabriel Pereira,Male,15,1,2,4,2,4,1,4,15,16,15,5.0,4.333333333333333,Math
62,Gabriel Pereira,Male,16,2,2,4,2,4,1,2,14,13,13,5.0,5.333333333333333,Math
63,Gabriel Pereira,Male,18,2,2,4,2,4,4,13,6,6,8,5.0,5.333333333333333,Math
64,Gabriel Pereira,Male,17,2,5,5,1,4,5,14,12,12,12,4.5,8.666666666666666,Math
65,Gabriel Pereira,Male,16,1,4,4,1,4,5,18,14,11,13,4.5,6.333333333333333,Math
66,Gabriel Pereira,Female,16,2,4,4,1,4,5,2,13,13,11,4.5,7.333333333333333,Math
67,Gabriel Pereira,Male,15,2,4,4,1,4,3,6,5,9,7,4.5,7.333333333333333,Math
68,Mousinho Da Silveira,Female,18,2,3,4,1,4,5,0,13,13,13,4.5,6.333333333333333,Math
69,Gabriel Pereira,Female,16,2,3,5,1,4,3,12,11,12,11,4.5,6.666666666666667,Math
70,Gabriel Pereira,Male,18,2,3,2,1,4,5,11,12,11,11,4.5,5.666666666666667,Math
71,Gabriel Pereira,Male,17,1,3,3,1,4,2,2,10,10,10,4.5,5.0,Math
72,Gabriel Pereira,Female,16,1,3,2,1,4,5,6,9,9,10,4.5,4.666666666666667,Math
73,Gabriel Pereira,Female,17,1,3,3,1,4,3,3,7,7,8,4.5,5.0,Math
74,Gabriel Pereira,Male,17,2,3,4,1,4,4,4,6,5,6,4.5,6.333333333333333,Math
75,Mousinho Da Silveira,Male,18,2,2,4,1,4,2,4,15,14,14,4.5,5.333333333333333,Math
76,Gabriel Pereira,Female,16,1,2,1,1,4,5,16,12,11,11,4.5,3.3333333333333335,Math
77,Gabriel Pereira,Male,18,1,2,4,1,4,3,22,9,9,9,4.5,4.333333333333333,Math
78,Gabriel Pereira,Male,17,2,2,4,1,4,5,20,9,7,8,4.5,5.333333333333333,Math
79,Mousinho Da Silveira,Male,18,1,4,3,4,3,3,14,6,5,5,5.0,6.0,Math
80,Mousinho Da Silveira,Male,21,1,5,3,3,3,3,3,10,8,7,4.5,7.0,Math
81,Gabriel Pereira,Female,16,1,4,4,3,3,1,2,14,14,13,4.5,6.333333333333333,Math
82,Gabriel Pereira,Female,18,2,4,4,3,3,5,2,11,11,11,4.5,7.333333333333333,Math
83,Mousinho Da Silveira,Male,19,2,4,4,3,3,2,8,8,7,8,4.5,7.333333333333333,Math
84,Mousinho Da Silveira,Male,19,1,4,4,3,3,5,4,8,8,8,4.5,6.333333333333333,Math
85,Gabriel Pereira,Female,19,2,3,5,3,3,5,15,9,9,9,4.5,6.666666666666667,Math
86,Gabriel Pereira,Male,17,1,2,2,3,3,5,8,16,12,13,4.5,3.6666666666666665,Math
87,Mousinho Da Silveira,Male,19,1,2,3,3,3,5,5,8,9,9,4.5,4.0,Math
88,Mousinho Da Silveira,Male,17,2,5,4,2,3,3,2,13,13,13,4.0,8.333333333333334,Math
89,Mousinho Da Silveira,Female,17,2,5,4,2,3,1,17,10,10,10,4.0,8.333333333333334,Math
90,Gabriel Pereira,Female,17,2,4,2,2,3,5,0,16,17,17,4.0,6.666666666666667,Math
91,Gabriel Pereira,Female,15,4,4,2,2,3,3,12,16,16,16,4.0,8.666666666666666,Math
92,Gabriel Pereira,Female,17,3,4,3,2,3,5,1,12,14,15,4.0,8.0,Math
93,Gabriel Pereira,Female,18,3,4,3,2,3,1,7,13,13,14,4.0,8.0,Math
94,Gabriel Pereira,Female,17,2,4,4,2,3,5,6,12,12,12,4.0,7.333333333333333,Math
95,Mousinho Da Silveira,Male,18,2,4,3,2,3,5,2,13,12,12,4.0,7.0,Math
96,Gabriel Pereira,Female,16,2,4,4,2,3,4,6,10,11,11,4.0,7.333333333333333,Math
97,Gabriel Pereira,Male,18,3,4,5,2,3,5,0,10,10,9,4.0,8.666666666666666,Math
98,Gabriel Pereira,Female,15,2,4,4,2,3,5,6,7,9,8,4.0,7.333333333333333,Math
99,Gabriel Pereira,Male,16,2,4,3,2,3,3,10,9,8,8,4.0,7.0,Math
100,Gabriel Pereira,Female,17,3,3,3,2,3,2,0,16,15,15,4.0,7.0,Math
101,Gabriel Pereira,Female,16,2,3,3,2,3,4,2,12,13,13,4.0,6.0,Math
102,Gabriel Pereira,Male,17,2,3,3,2,3,4,2,10,11,12,4.0,6.0,Math
103,Mousinho Da Silveira,Male,18,1,3,3,2,3,3,3,14,12,12,4.0,5.0,Math
104,Gabriel Pereira,Female,15,1,3,4,2,3,5,0,8,10,11,4.0,5.333333333333333,Math
105,Gabriel Pereira,Male,17,2,3,4,2,3,4,12,12,12,11,4.0,6.333333333333333,Math
106,Gabriel Pereira,Female,15,2,3,2,2,3,3,10,7,8,10,4.0,5.666666666666667,Math
107,Gabriel Pereira,Male,15,2,3,3,2,3,5,6,9,9,10,4.0,6.0,Math
108,Gabriel Pereira,Female,15,2,3,2,2,3,4,2,9,10,10,4.0,5.666666666666667,Math
109,Gabriel Pereira,Female,17,2,3,3,2,3,2,4,9,10,10,4.0,6.0,Math
110,Gabriel Pereira,Female,17,2,3,3,2,3,1,56,9,9,8,4.0,6.0,Math
111,Mousinho Da Silveira,Male,18,1,3,3,2,3,3,7,8,7,8,4.0,5.0,Math
112,Gabriel Pereira,Female,16,2,3,3,2,3,2,4,7,6,6,4.0,6.0,Math
113,Gabriel Pereira,Female,19,2,3,4,2,3,2,0,10,9,0,4.0,6.333333333333333,Math
114,Gabriel Pereira,Female,17,2,3,2,2,3,2,0,7,8,0,4.0,5.666666666666667,Math
115,Gabriel Pereira,Female,17,1,2,4,2,3,2,24,18,18,18,4.0,4.333333333333333,Math
116,Gabriel Pereira,Female,15,3,2,1,2,3,3,8,10,10,10,4.0,5.333333333333333,Math
117,Gabriel Pereira,Female,15,1,5,5,1,3,1,4,16,17,18,3.5,7.666666666666667,Math
118,Gabriel Pereira,Male,16,2,5,1,1,3,5,2,15,15,16,3.5,7.333333333333333,Math
119,Gabriel Pereira,Female,18,4,5,5,1,3,2,4,15,14,14,3.5,10.666666666666666,Math
120,Mousinho Da Silveira,Male,17,2,5,5,1,3,2,4,13,11,11,3.5,8.666666666666666,Math
121,Gabriel Pereira,Male,17,2,5,5,1,3,2,14,11,9,9,3.5,8.666666666666666,Math
122,Mousinho Da Silveira,Female,17,1,5,5,1,3,1,14,6,5,5,3.5,7.666666666666667,Math
123,Gabriel Pereira,Female,17,2,4,4,1,3,1,2,14,15,15,3.5,7.333333333333333,Math
124,Gabriel Pereira,Female,17,3,4,5,1,3,5,16,16,15,15,3.5,8.666666666666666,Math
125,Gabriel Pereira,Female,17,3,4,3,1,3,4,0,13,15,15,3.5,8.0,Math
126,Gabriel Pereira,Female,17,1,4,4,1,3,5,12,10,13,12,3.5,6.333333333333333,Math
127,Gabriel Pereira,Male,16,2,4,4,1,3,5,0,14,12,12,3.5,7.333333333333333,Math
128,Gabriel Pereira,Male,17,1,4,3,1,3,5,4,14,12,11,3.5,6.0,Math
129,Gabriel Pereira,Male,17,2,4,4,1,3,5,0,13,11,10,3.5,7.333333333333333,Math
130,Gabriel Pereira,Female,16,2,4,3,1,3,4,6,8,10,10,3.5,7.0,Math
131,Gabriel Pereira,Female,17,2,4,4,1,3,1,4,9,9,10,3.5,7.333333333333333,Math
132,Gabriel Pereira,Male,18,2,4,5,1,3,5,10,10,9,10,3.5,7.666666666666667,Math
133,Gabriel Pereira,Female,19,2,4,3,1,3,3,18,12,10,10,3.5,7.0,Math
134,Gabriel Pereira,Female,17,3,4,4,1,3,4,7,10,9,9,3.5,8.333333333333334,Math
135,Mousinho Da Silveira,Male,18,1,4,3,1,3,5,5,7,6,7,3.5,6.0,Math
136,Gabriel Pereira,Male,15,2,3,3,1,3,4,4,15,15,15,3.5,6.0,Math
137,Gabriel Pereira,Female,17,2,3,4,1,3,3,10,16,15,15,3.5,6.333333333333333,Math
138,Gabriel Pereira,Male,18,2,3,3,1,3,5,11,16,15,15,3.5,6.0,Math
139,Gabriel Pereira,Male,15,1,3,3,1,3,5,2,14,14,14,3.5,5.0,Math
140,Gabriel Pereira,Female,15,3,3,3,1,3,1,4,13,14,14,3.5,7.0,Math
141,Gabriel Pereira,Male,17,2,3,3,1,3,3,2,12,11,12,3.5,6.0,Math
142,Gabriel Pereira,Female,19,3,3,4,1,3,3,4,11,12,11,3.5,7.333333333333333,Math
143,Gabriel Pereira,Male,16,3,3,3,1,3,2,10,11,9,10,3.5,7.0,Math
144,Gabriel Pereira,Male,16,2,3,3,1,3,2,6,7,10,10,3.5,6.0,Math
145,Mousinho Da Silveira,Female,18,2,3,2,1,3,3,0,11,11,10,3.5,5.666666666666667,Math
146,Mousinho Da Silveira,Female,18,3,3,3,1,3,4,2,10,9,10,3.5,7.0,Math
147,Gabriel Pereira,Female,17,2,3,3,1,3,3,6,8,7,9,3.5,6.0,Math
148,Gabriel Pereira,Female,16,3,3,3,1,3,4,0,7,7,8,3.5,7.0,Math
149,Gabriel Pereira,Male,16,1,3,2,1,3,3,0,8,9,8,3.5,4.666666666666667,Math
150,Gabriel Pereira,Male,18,2,3,3,1,3,5,8,3,5,5,3.5,6.0,Math
151,Mousinho Da Silveira,Male,19,1,3,2,1,3,5,0,6,5,0,3.5,4.666666666666667,Math
152,Mousinho Da Silveira,Male,19,1,3,2,1,3,5,0,6,5,0,3.5,4.666666666666667,Math
153,Gabriel Pereira,Male,18,3,2,4,1,3,2,6,15,14,14,3.5,6.333333333333333,Math
154,Gabriel Pereira,Male,15,1,2,2,1,3,3,2,10,12,12,3.5,3.6666666666666665,Math
155,Gabriel Pereira,Female,16,4,2,3,1,3,3,0,11,11,11,3.5,7.0,Math
156,Gabriel Pereira,Female,16,1,2,2,1,3,5,14,6,9,8,3.5,3.6666666666666665,Math
157,Gabriel Pereira,Female,18,2,1,2,1,3,2,21,17,18,18,3.5,3.6666666666666665,Math
158,Gabriel Pereira,Male,16,1,1,3,1,3,5,4,8,10,10,3.5,3.0,Math
159,Gabriel Pereira,Female,15,2,1,3,1,3,4,2,8,9,8,3.5,4.0,Math
160,Mousinho Da Silveira,Female,18,2,2,2,4,2,5,10,14,12,11,4.0,4.666666666666667,Math
161,Gabriel Pereira,Male,15,1,5,5,3,2,5,0,13,13,12,3.5,7.666666666666667,Math
162,Gabriel Pereira,Male,17,2,5,2,2,2,1,2,15,14,14,3.0,7.666666666666667,Math
163,Gabriel Pereira,Male,19,2,5,2,2,2,4,3,13,11,11,3.0,7.666666666666667,Math
164,Gabriel Pereira,Male,18,1,4,2,2,2,1,5,16,15,16,3.0,5.666666666666667,Math
165,Mousinho Da Silveira,Female,18,1,4,3,2,2,5,7,6,5,6,3.0,6.0,Math
166,Gabriel Pereira,Male,15,2,3,3,2,2,5,2,15,15,14,3.0,6.0,Math
167,Gabriel Pereira,Male,16,1,3,2,2,2,5,2,12,12,14,3.0,4.666666666666667,Math
168,Gabriel Pereira,Female,18,2,3,4,2,2,4,8,12,10,11,3.0,6.333333333333333,Math
